M_C;M_A;IS_SYM;P;T;Rho
111.092;280.146;0;90;313.15;1561.67
111.092;280.146;0;90;318.15;1557.48
111.092;280.146;0;100;288.15;1587.93
111.092;280.146;0;100;293.15;1583.72
111.092;280.146;0;100;298.15;1579.54
111.092;280.146;0;100;303.15;1575.36
111.092;280.146;0;100;308.15;1571.2
111.092;280.146;0;100;313.15;1567.06
111.092;280.146;0;100;318.15;1562.93
125.108;280.146;1;0.1;298.15;1492.67
125.108;280.146;1;0.1;303.15;1487.83
125.108;280.146;1;0.1;308.15;1483.01
125.108;280.146;1;0.1;313.15;1478.21
125.108;280.146;1;0.1;318.15;1473.43
125.108;280.146;1;0.1;323.15;1468.67
125.108;280.146;1;15.2;298.15;1502.77
125.108;280.146;1;15.2;303.15;1498.09
125.108;280.146;1;15.2;308.15;1493.43
125.108;280.146;1;15.2;313.15;1488.79
125.108;280.146;1;15.2;318.15;1484.17
125.108;280.146;1;15.2;323.15;1479.57
125.108;280.146;1;30.39;298.15;1512.3
125.108;280.146;1;30.39;303.15;1507.75
125.108;280.146;1;30.39;308.15;1503.23
125.108;280.146;1;30.39;313.15;1498.73
125.108;280.146;1;30.39;318.15;1494.25
125.108;280.146;1;30.39;323.15;1489.79
125.108;280.146;1;45.59;298.15;1521.27
125.108;280.146;1;45.59;303.15;1516.85
125.108;280.146;1;45.59;308.15;1512.44
125.108;280.146;1;45.59;313.15;1508.06
125.108;280.146;1;45.59;318.15;1503.71
125.108;280.146;1;45.59;323.15;1499.37
125.108;280.146;1;61;303.15;1525.45
125.108;280.146;1;61;308.15;1521.16
125.108;280.146;1;61;313.15;1516.88
125.108;280.146;1;61;318.15;1512.64
125.108;280.146;1;61;323.15;1508.41
125.108;280.146;1;76;308.15;1529.44
125.108;280.146;1;76;313.15;1525.26
125.108;280.146;1;76;318.15;1521.11
125.108;280.146;1;76;323.15;1516.98
108.081;280.146;0;0.101;303.15;1532.64
108.081;280.146;0;0.101;308.15;1527.68
108.081;280.146;0;0.101;313.15;1522.75
108.081;280.146;0;0.101;318.15;1517.84
108.081;280.146;0;0.101;323.15;1512.95
108.081;280.146;0;10;303.15;1539.73
108.081;280.146;0;10;308.15;1534.9
108.081;280.146;0;10;313.15;1530.08
108.081;280.146;0;10;318.15;1525.29
108.081;280.146;0;10;323.15;1520.52
108.081;280.146;0;20;303.15;1546.57
108.081;280.146;0;20;308.15;1541.85
108.081;280.146;0;20;313.15;1537.14
